C_V,n_M,n_V,p_M,p_V,r_M,r_V,R_MV,R_V_subscriber,R_V_retained,R_industry_net,residual_inf,method
120.0,167.0,1188.0,71.3335174157212,2.8648956936448746,52.69461077844311,1.01010101010101,14475.843884070542,3403.496084050111,840.3496084050112,15316.193492475553,7.958078640513122e-13,default:least_squares
120.0,168.0,1188.0,71.23222354210486,2.8645442919217268,52.38095238095238,1.01010101010101,14529.784311996325,3403.0786188030115,840.3078618803012,15370.092173876626,5.684341886080801e-13,default:least_squares
120.0,169.0,1188.0,71.13119618058613,2.8641876013274254,52.07100591715976,1.01010101010101,14583.561537858339,3402.6548703769813,840.2654870376982,15423.827024896036,3.126388037344441e-13,default:least_squares
120.0,170.0,1188.0,71.03041172966789,2.8638254337304287,51.76470588235294,1.01010101010101,14637.172147788115,3402.2246152717494,840.222461527175,15477.39460931529,2.2737367544323206e-13,default:least_squares
120.0,171.0,1188.0,70.92984500048304,2.863457589104187,51.461988304093566,1.01010101010101,14690.612349352796,3401.787615855774,840.1787615855774,15530.791110938373,6.821210263296962e-13,default:least_squares
120.0,172.0,1188.0,70.82946898065921,2.8630838544034143,51.162790697674424,1.01010101010101,14743.877921801515,3401.3436190312564,840.1343619031256,15584.012283704642,4.547473508864641e-13,default:least_squares
120.0,173.0,1188.0,70.72925455649771,2.862704002294475,50.86705202312139,1.01010101010101,14796.964157527356,3400.8923547258364,840.0892354725836,15637.05339299994,8.526512829121202e-13,default:least_squares
120.0,174.0,1188.0,70.62917018413606,2.862317789715279,50.574712643678154,1.01010101010101,14849.86579280325,3400.4335341817514,840.0433534181752,15689.909146221426,4.831690603168681e-13,default:least_squares
120.0,175.0,1188.0,70.5291814978308,2.861924956234873,50.285714285714285,1.01010101010101,14902.576925326717,3399.9668480070295,839.996684800703,15742.57361012742,3.410605131648481e-13,default:least_squares
120.0,176.0,1188.0,70.42925084014793,2.8615252221763945,49.99999999999999,1.01010101010101,14955.090915417037,3399.4919639455566,839.9491963945557,15795.040111811591,2.5579538487363607e-13,default:least_squares
120.0,177.0,1188.0,70.32933669436764,2.861118286458743,49.717514124293785,1.01010101010101,15007.40026678476,3399.008524312987,839.9008524312987,15847.30111921606,5.684341886080801e-13,default:least_squares
120.0,178.0,1188.0,70.22939299335356,2.860703824101773,49.43820224719101,1.01010101010101,15059.496481546548,3398.5161430329063,839.8516143032907,15899.348095849839,2.8421709430404007e-13,default:least_squares
120.0,179.0,1188.0,70.12936827084671,2.860281483326088,49.162011173184354,1.01010101010101,15111.369882453813,3398.0144021913925,839.8014402191393,15951.171322672953,3.126388037344441e-13,default:least_squares
120.0,180.0,1188.0,70.02920460965107,2.8598508821607234,48.888888888888886,1.01010101010101,15163.009392943439,3397.5028480069395,839.750284800694,16002.759677744132,8.242295734817162e-13,default:least_squares
120.0,181.0,1189.0,69.93428615229962,2.8570083558406485,48.61878453038673,1.0092514718250631,15215.39043515131,3396.982935094531,839.6982935094532,16055.088728660763,3.694822225952521e-13,default:least_squares
120.0,182.0,1189.0,69.83372180571368,2.8565619415175987,48.35164835164835,1.0092514718250631,15266.544302257873,3396.4521484644247,839.6452148464425,16106.189517104314,2.2737367544323206e-13,default:least_squares
120.0,183.0,1189.0,69.73279556037171,2.856105860397347,48.08743169398907,1.0092514718250631,15317.420468759225,3395.9098680124457,839.5909868012445,16157.01145556047,2.2737367544323206e-13,default:least_squares
120.0,184.0,1189.0,69.63140688787195,2.8556395523929488,47.826086956521735,1.0092514718250631,15367.998752384134,3395.355427795216,839.5355427795216,16207.534295163656,4.547473508864641e-13,default:least_squares
